Code,Product,Category,Serving,Price,kcal,Fat,Sat.,Trans,Chol.,Sodium,Carbs,Sugar,Added,Protein,Milk,Nuts,Soy,Gluten,Oats,Ingredients
IC-15,Mango Ginger Lush,Ice Cream,100,209,182,8.4,4.4,0.0,6,99,21.3,19.6,13.3,3.8,X,-,-,-,-,"milk cream, cane sugar, mango puree, ginger infusion, water, emulsifier, stabilizer"
IC-16,Salted Jaggery Ripple,Ice Cream,100,229,143,9.7,6.3,0.0,4,57,22.4,14.5,14.4,3.4,X,-,-,-,-,"milk cream, jaggery syrup, milk cream, sea salt, water, butter, stabilizer"
IC-17,Coffee Cardamom Cream,Ice Cream,100,219,179,8.3,4.1,0.0,6,65,21.3,15.2,15.9,2.6,X,-,-,-,-,"milk cream, cane sugar, coffee infusion, cardamom, water, emulsifier, stabilizer"
IC-18,Cherry Cacao Night,Ice Cream,100,209,185,7.9,4.9,0.0,6,97,21.7,20.5,16.3,2.2,X,-,-,-,-,"milk cream, cane sugar, cherry puree, cocoa nibs, water, glucose syrup, emulsifier, stabilizer"
IC-19,Coconut Lime Snow,Ice Cream,100,189,144,5.0,2.2,0.0,4,65,22.3,16.8,11.0,3.8,-,-,-,-,-,"coconut cream, cane sugar, coconut flakes, lime zest, water, tapioca syrup, stabilizer"
IC-20,Peach Oat Crumble,Ice Cream,100,179,165,5.6,3.3,0.1,7,61,20.8,18.1,13.8,2.9,X,-,-,X,X,"milk cream, cane sugar, peach puree, oat crumble, cinnamon, water, emulsifier, stabilizer"
IC-21,Dark Cocoa Orange Peel,Ice Cream,100,179,174,9.8,4.4,0.0,9,43,18.0,19.8,17.0,3.5,X,-,-,-,-,"milk cream, cane sugar, dark cocoa, orange peel, water, emulsifier, stabilizer"
IC-22,Pomegranate Rose Cream,Ice Cream,100,199,177,6.2,3.3,0.1,4,91,24.2,17.0,12.1,4.1,X,-,-,-,-,"milk cream, cane sugar, pomegranate puree, rose infusion, water, emulsifier, stabilizer"
IC-23,Tender Fig Cashew Swirl,Ice Cream,100,179,158,7.8,4.2,0.1,6,67,19.6,19.6,12.2,2.8,X,X,-,-,-,"milk cream, cane sugar, fig puree, cashew butter, water, date syrup, emulsifier, stabilizer"
IC-24,Pecan Maple Frost,Ice Cream,100,199,150,9.8,4.9,0.1,8,82,17.7,15.6,11.0,3.2,X,X,-,-,-,"milk cream, cane sugar, pecan butter, maple syrup, water, emulsifier, stabilizer"
IC-25,Strawberry Basil Cream,Ice Cream,100,179,156,4.7,2.6,0.0,9,38,23.7,15.2,16.7,3.5,X,-,-,-,-,"milk cream, cane sugar, strawberry puree, basil infusion, water, glucose syrup, emulsifier, stabilizer"
IC-26,Lychee Vanilla Bloom,Ice Cream,100,179,165,9.7,5.1,0.0,3,88,24.0,18.0,11.9,2.3,X,-,-,-,-,"milk cream, cane sugar, lychee puree, vanilla, water, emulsifier, stabilizer"
IC-27,Brown Sugar Sesame Cream,Ice Cream,100,179,141,8.7,4.4,0.0,9,87,18.0,21.0,12.7,3.1,X,-,-,-,-,"milk cream, brown sugar, tahini, milk cream, water, sesame brittle, stabilizer"
IC-28,Apricot Pistachio Glow,Ice Cream,100,229,182,8.0,4.8,0.0,9,52,19.7,20.4,16.4,3.5,X,X,-,-,-,"milk cream, cane sugar, apricot puree, pistachio butter, water, saffron, emulsifier, stabilizer"
IC-29,Mint Cocoa Nib Frost,Ice Cream,100,209,136,4.3,2.0,0.0,6,55,17.8,19.6,12.5,2.7,X,-,-,-,-,"milk cream, cane sugar, cocoa nibs, mint infusion, water, emulsifier, stabilizer"
IC-30,Spiced Guava Cream,Ice Cream,100,199,180,10.2,5.0,0.0,8,87,20.5,15.2,14.3,3.7,X,-,-,-,-,"milk cream, cane sugar, guava puree, warm spice infusion, water, emulsifier, stabilizer"
CK-01,Cocoa Lantern Celebration Cake,Ice Cream Cake,1000,1449,2215,132.0,70.5,1.4,183,898,273.0,202.0,186.0,34.0,X,-,-,X,-,"milk cream, cane sugar, cocoa paste, rice flour, eggs, butter, date syrup, chocolate glaze, stabilizer"
CK-02,Pistachio Fig Layer Cake,Ice Cream Cake,1000,1349,1985,95.0,54.5,1.1,180,1237,254.0,182.0,173.0,35.0,X,X,-,X,-,"milk cream, cane sugar, pistachio butter, fig puree, rice flour, eggs, butter, cocoa glaze, stabilizer"
CK-03,Berry Rose Garden Cake,Ice Cream Cake,1000,1649,2130,136.0,81.7,1.4,196,1257,268.0,190.0,179.0,27.0,X,-,-,X,-,"milk cream, cane sugar, berry puree, rose syrup, rice flour, eggs, butter, cream cheese, stabilizer"
CK-04,Vanilla Peach Cloud Cake,Ice Cream Cake,1000,1549,2293,122.0,71.4,1.7,221,1120,250.0,213.0,186.0,30.0,X,-,-,X,-,"milk cream, cane sugar, peach puree, vanilla, rice flour, eggs, butter, coconut cream, stabilizer"
CK-05,Coffee Cardamom Mosaic Cake,Ice Cream Cake,1000,1349,2311,124.0,72.8,1.5,185,767,260.0,192.0,175.0,27.0,X,-,-,X,-,"milk cream, cane sugar, coffee infusion, cardamom, rice flour, eggs, butter, cocoa glaze, stabilizer"
CK-06,Mango Saffron Cream Cake,Ice Cream Cake,1000,1449,1980,116.0,68.3,1.3,168,936,257.0,174.0,140.0,26.0,X,-,-,X,-,"milk cream, cane sugar, mango puree, saffron, rice flour, eggs, butter, cream, stabilizer"
CK-07,Coconut Jaggery Ribbon Cake,Ice Cream Cake,1000,1349,2102,116.0,57.3,1.3,189,1048,262.0,213.0,168.0,32.0,X,-,-,X,-,"coconut cream, jaggery syrup, toasted coconut, rice flour, eggs, butter, vanilla, stabilizer"
CK-08,Blackberry Cocoa Layer Cake,Ice Cream Cake,1000,1249,2366,95.0,54.2,1.6,188,1185,247.0,171.0,143.0,32.0,X,-,-,X,-,"milk cream, cane sugar, blackberry puree, cocoa paste, rice flour, eggs, butter, cream, stabilizer"
CK-09,Hazelnut Orange Velvet Cake,Ice Cream Cake,1000,1249,2141,92.0,55.9,1.0,215,868,255.0,217.0,166.0,28.0,X,X,-,X,-,"milk cream, cane sugar, hazelnut butter, orange peel, rice flour, eggs, butter, cocoa glaze, stabilizer"
CK-10,Strawberry Chai Cream Cake,Ice Cream Cake,1000,1649,2176,111.0,60.7,1.5,154,1068,258.0,216.0,172.0,37.0,X,-,-,X,-,"milk cream, cane sugar, strawberry puree, chai spice, rice flour, eggs, butter, cream cheese, stabilizer"
FR-01,Silk Cocoa 55%,Frost Chocolates,50,389,289,20.5,11.4,0.1,1,34,27.6,17.9,12.4,4.1,X,-,-,-,-,"cocoa solids, cane sugar, cocoa butter, milk solids, vanilla bean"
FR-02,Jaggery Sea Salt Milk Bar,Frost Chocolates,50,279,303,15.7,8.2,0.1,4,15,22.9,22.0,18.3,3.2,X,-,-,-,-,"cocoa solids, cocoa butter, milk solids, jaggery, sea salt, vanilla"
FR-03,Pistachio Saffron Praline Bar,Frost Chocolates,50,299,282,21.2,8.4,0.1,6,37,27.6,19.9,15.9,3.7,X,X,-,-,-,"cocoa solids, cocoa butter, milk solids, pistachio butter, saffron"
FR-04,Roasted Coconut Cacao Bar,Frost Chocolates,50,329,266,21.3,11.5,0.2,12,37,25.7,21.9,19.2,3.6,-,-,-,-,-,"cocoa solids, cocoa butter, coconut cream powder, cane sugar, toasted coconut"
FR-05,Orange Cardamom Dark Bar,Frost Chocolates,50,329,301,21.6,10.3,0.2,5,12,26.9,24.1,16.2,4.3,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, dried orange peel, cardamom"
FR-06,Hazelnut Coffee Crunch Bar,Frost Chocolates,50,349,270,21.8,10.0,0.1,9,16,30.6,19.0,19.0,4.8,X,X,-,-,-,"cocoa solids, cocoa butter, milk solids, hazelnut pieces, roasted coffee"
FR-07,Berry Pepper Ruby Bar,Frost Chocolates,50,279,278,20.8,10.8,0.1,8,31,23.1,23.4,15.0,3.6,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, berry powder, pink pepper"
FR-08,Sesame Cocoa Crisp Bar,Frost Chocolates,50,369,261,18.5,8.5,0.2,7,67,23.5,15.6,12.1,5.1,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, sesame crisp, vanilla"
FR-09,Fig Almond Dark Bar,Frost Chocolates,50,349,292,15.9,7.8,0.1,9,44,30.3,23.3,13.7,4.9,-,X,-,-,-,"cocoa solids, cocoa butter, almond pieces, fig powder, cane sugar"
FR-10,Mint Nib Cacao Bar,Frost Chocolates,50,279,256,17.5,12.7,0.2,4,60,26.8,20.2,14.5,3.1,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, cocoa nibs, mint"
FR-11,Mango Chili Cocoa Bar,Frost Chocolates,50,369,281,18.0,8.4,0.1,7,47,25.7,23.1,18.2,4.0,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, dried mango, mild chili"
FR-12,Cashew Rose Milk Bar,Frost Chocolates,50,279,255,16.4,11.4,0.1,9,71,26.1,20.6,16.8,4.3,X,X,-,-,-,"cocoa solids, cocoa butter, milk solids, cashew pieces, rose"
FR-13,Espresso Jaggery Dark Bar,Frost Chocolates,50,389,301,16.3,13.1,0.2,2,32,28.1,16.8,17.0,4.0,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar, espresso powder, jaggery"
FR-14,Coconut Vanilla Cacao Bar,Frost Chocolates,50,329,279,17.9,11.6,0.2,5,45,27.0,17.8,19.7,4.3,-,-,-,-,-,"cocoa solids, cocoa butter, coconut cream powder, vanilla, cane sugar"
FR-15,Pecan Cinnamon Dark Bar,Frost Chocolates,50,299,281,21.6,12.2,0.1,0,8,25.7,22.1,13.2,3.4,-,X,-,-,-,"cocoa solids, cocoa butter, pecan pieces, cinnamon, cane sugar"
TO-01,Midnight Cocoa Pour,Toppings,20,69,99,4.2,1.1,0.1,11,48,8.5,4.8,4.0,0.0,-,-,-,-,-,"cocoa paste, cane sugar, water, date syrup, coconut oil, salt, stabilizer"
TO-02,Rose Berry Drizzle,Toppings,20,59,119,0.2,3.3,0.0,8,37,16.0,8.5,9.4,1.8,-,-,-,-,-,"strawberry puree, rose infusion, cane sugar, water, pectin"
TO-03,Jaggery Caramel Ribbon,Toppings,30,49,109,8.2,1.6,0.0,2,63,11.7,2.3,8.1,0.4,X,-,-,-,-,"jaggery syrup, milk solids, butter, sea salt, water, stabilizer"
TO-04,Mango Lime Spoonful,Toppings,30,79,105,5.8,1.4,0.0,0,11,16.6,4.5,4.1,0.1,-,-,-,-,-,"mango puree, lime juice, cane sugar, water, pectin"
TO-05,Pomegranate Ripple,Toppings,30,49,86,0.8,0.4,0.1,3,22,9.8,3.1,3.2,2.8,-,-,-,-,-,"pomegranate juice, cane sugar, water, pectin, rose"
TO-06,Toasted Coconut Shards,Toppings,20,79,94,1.0,0.4,0.0,1,62,16.4,3.9,11.0,2.7,-,-,-,-,-,"toasted coconut flakes, cane sugar, coconut oil, vanilla"
TO-07,Pistachio Brittle Dust,Toppings,30,49,76,7.6,0.8,0.0,0,22,11.1,8.5,2.3,1.0,-,X,-,-,-,"pistachio pieces, cane sugar, cocoa butter, saffron"
TO-08,Hazelnut Cacao Crumble,Toppings,25,49,99,9.3,1.2,0.0,5,42,14.6,9.2,9.7,1.8,-,X,-,-,-,"hazelnut pieces, cocoa nibs, cane sugar, rice crisp"
TO-09,Almond Chai Crunch,Toppings,20,49,57,4.9,0.4,0.0,2,48,14.8,4.8,8.4,2.0,-,X,-,-,X,"almond pieces, oat flakes, chai spice, jaggery, coconut oil"
TO-10,Fig Brownie Pebbles,Toppings,20,49,56,2.2,3.6,0.1,1,8,11.2,4.7,7.3,1.8,X,-,-,X,-,"fig puree, cocoa crumble, cane sugar, butter, rice flour"
TO-11,Cardamom Cookie Crumble,Toppings,20,59,84,2.4,3.0,0.0,0,41,15.2,6.6,4.4,2.1,X,-,-,X,-,"rice flour, cane sugar, cardamom, butter, vanilla"
TO-12,Cocoa Nib Sprinkle,Toppings,15,59,117,6.7,1.5,0.0,5,39,14.2,2.6,5.8,2.4,-,-,-,-,-,"cocoa nibs, cane sugar, cocoa butter"
TO-13,Vanilla Sesame Crunch,Toppings,15,69,112,4.5,0.2,0.0,9,25,9.2,2.1,1.0,1.7,-,-,-,-,-,"sesame seeds, cane sugar, vanilla, coconut oil"
TO-14,Dark Cocoa Curls,Toppings,15,59,113,7.3,3.5,0.1,0,26,9.5,6.4,4.3,2.3,-,-,-,-,-,"cocoa solids, cocoa butter, cane sugar"
TO-15,Jaggery Toffee Bits,Toppings,15,79,105,4.9,3.6,0.1,6,40,9.6,13.7,9.7,1.6,X,-,-,X,-,"jaggery, butter, rice flour, sea salt, vanilla"
TO-16,Honey Oat Clusters,Toppings,15,79,113,6.2,2.4,0.0,8,63,17.0,7.6,2.2,0.5,-,X,-,-,X,"oat flakes, honey, almonds, sunflower oil, cinnamon"
TO-17,Coconut Sesame Flakes,Toppings,30,79,124,2.7,3.3,0.0,10,3,9.6,7.0,2.7,0.5,-,-,-,-,-,"coconut flakes, sesame, cane sugar, coconut oil"
TO-18,Cashew Cocoa Crumble,Toppings,20,49,60,2.6,3.1,0.0,7,29,9.9,12.0,11.1,1.4,-,X,-,-,-,"cashew pieces, cocoa nibs, cane sugar, rice crisp"
TO-19,Ruby Berry Gems,Toppings,30,49,97,5.2,2.9,0.1,10,4,13.4,6.8,5.1,2.7,-,-,-,-,-,"berry puree, cane sugar, pectin, lemon juice"
TO-20,Mini Vanilla Clouds,Toppings,15,59,80,1.8,3.6,0.0,2,48,16.1,9.3,1.5,1.1,-,-,-,-,-,"cane sugar, tapioca syrup, gelatin, vanilla"
TO-21,Orange Cocoa Rice Crisp,Toppings,15,79,77,5.1,3.7,0.0,11,14,14.8,9.1,10.1,3.1,-,-,-,-,-,"rice crisps, cocoa solids, cane sugar, cocoa butter"
TO-22,Coffee Biscuit Crumble,Toppings,20,59,70,1.7,2.9,0.0,11,19,11.6,6.5,2.1,2.7,X,-,-,X,-,"rice flour, cane sugar, coffee, butter, vanilla"
TO-23,Peach Fruit Cubes,Toppings,25,79,91,1.9,2.7,0.0,6,13,8.9,7.1,4.4,0.3,-,-,-,-,-,"peach puree, cane sugar, pectin, lemon juice"
TO-24,Toasted Waffle Pearls,Toppings,25,79,58,8.4,2.5,0.0,0,4,13.2,2.7,1.6,1.2,X,-,-,X,-,"rice flour, cane sugar, eggs, butter, vanilla"
TO-25,Saffron Brownie Crumble,Toppings,25,69,70,8.4,1.7,0.1,2,13,7.7,11.4,5.5,0.3,X,-,-,X,-,"cocoa paste, saffron syrup, rice flour, butter, cane sugar"
